Data;2053 - Dívida Líquida do Setor Público - Saldos em u.m.c. milhões - Total - Governo Federal e Banco Central - u.m.c. (milhões);2054 - Dívida Líquida do Setor Público - Saldos em u.m.c. milhões - Total - Governo Federal - u.m.c. (milhões);4504 - Dívida Líquida do Setor Público (% PIB) - Total - Governo Federal - %
01/1991;12.740.453,86 ;-;-
02/1991;12.826.056,91 ;-;-
03/1991;13.568.715,23 ;-;-
04/1991;14.308.458,32 ;-;-
05/1991;15.316.126,55 ;-;-
06/1991;16.831.558,50 ;-;-
07/1991;18.188.253,82 ;-;-
08/1991;20.658.843,21 ;-;-
09/1991;24.764.953,82 ;-;-
10/1991;32.863.007,85 ;-;-
11/1991;41.295.663,31 ;-;-
12/1991;51.655.785,83 ;-;-
01/1992;62.363.839,95 ;-;-
02/1992;76.207.347,13 ;-;-
03/1992;98.113.275,57 ;-;-
04/1992;113.818.925,01 ;-;-
05/1992;134.993.122,08 ;-;-
06/1992;163.948.128,09 ;-;-
07/1992;200.627.006,67 ;-;-
08/1992;243.138.003,98 ;-;-
09/1992;307.409.606,82 ;-;-
10/1992;387.226.130,89 ;-;-
11/1992;466.720.484,61 ;-;-
12/1992;610.000.212,05 ;-;-
01/1993;742.500.410,26 ;-;-
02/1993;961.747.245,88 ;-;-
03/1993;1.224.624.699,21 ;-;-
04/1993;1.550.048.253,81 ;-;-
05/1993;1.906.326.290,21 ;-;-
06/1993;2.436.556.522,03 ;-;-
07/1993;3.169.711.640,94 ;-;-
08/1993;4.347.895,81 ;-;-
09/1993;5.750.207,83 ;-;-
10/1993;7.653.378,96 ;-;-
11/1993;10.149.763,34 ;-;-
12/1993;14.284.124,54 ;-;-
01/1994;19.790.837,14 ;-;-
02/1994;28.188.651,49 ;-;-
03/1994;40.254.936,19 ;-;-
04/1994;74.802.169,83 ;-;-
05/1994;106.511.920,47 ;-;-
06/1994;156.408.326,78 ;-;-
07/1994;68.176,07 ;-;-
08/1994;66.728,83 ;-;-
09/1994;65.874,41 ;-;-
10/1994;64.942,25 ;-;-
11/1994;65.486,67 ;-;-
12/1994;65.836,21 ;-;-
01/1995;65.274,64 ;-;-
02/1995;68.307,67 ;-;-
03/1995;71.296,62 ;-;-
04/1995;71.966,70 ;-;-
05/1995;70.682,79 ;-;-
06/1995;75.852,07 ;-;-
07/1995;78.564,27 ;-;-
08/1995;78.458,85 ;-;-
09/1995;80.800,42 ;-;-
10/1995;83.612,61 ;-;-
11/1995;85.909,63 ;-;-
12/1995;90.406,30 ;-;-
01/1996;92.146,47 ;-;-
02/1996;94.066,03 ;-;-
03/1996;91.651,35 ;-;-
04/1996;95.745,00 ;-;-
05/1996;104.616,41 ;-;-
06/1996;112.409,73 ;-;-
07/1996;115.458,74 ;-;-
08/1996;117.721,63 ;-;-
09/1996;119.136,71 ;-;-
10/1996;121.901,22 ;-;-
11/1996;124.910,11 ;-;-
12/1996;128.413,28 ;-;-
01/1997;131.309,25 ;-;-
02/1997;132.468,77 ;-;-
03/1997;133.100,28 ;-;-
04/1997;134.699,97 ;-;-
05/1997;134.449,66 ;-;-
06/1997;130.265,91 ;-;-
07/1997;132.544,64 ;-;-
08/1997;132.251,89 ;-;-
09/1997;143.185,97 ;-;-
10/1997;149.394,80 ;-;-
11/1997;153.923,84 ;-;-
12/1997;167.741,82 ;-;-
01/1998;173.816,83 ;174.245,04 ;-
02/1998;177.389,89 ;179.113,61 ;-
03/1998;177.525,67 ;178.758,01 ;-
04/1998;182.408,18 ;184.198,90 ;-
05/1998;186.391,04 ;187.377,48 ;-
06/1998;195.800,20 ;193.636,98 ;-
07/1998;199.138,17 ;196.751,73 ;-
08/1998;195.601,71 ;192.626,19 ;-
09/1998;201.509,13 ;199.389,90 ;-
10/1998;208.043,92 ;206.423,84 ;-
11/1998;225.821,30 ;224.602,05 ;-
12/1998;231.267,74 ;237.034,76 ;-
01/1999;305.517,10 ;306.384,99 ;-
02/1999;317.823,66 ;315.051,71 ;-
03/1999;290.165,96 ;287.909,94 ;-
04/1999;287.156,74 ;285.402,82 ;-
05/1999;298.092,53 ;292.195,12 ;-
06/1999;302.199,24 ;299.780,37 ;-
07/1999;306.094,84 ;302.989,41 ;-
08/1999;317.659,47 ;311.803,42 ;-
09/1999;315.698,57 ;310.779,07 ;-
10/1999;321.633,77 ;314.817,32 ;-
11/1999;318.398,98 ;313.173,92 ;-
12/1999;316.221,69 ;313.668,65 ;-
01/2000;321.797,85 ;319.874,83 ;-
02/2000;323.486,02 ;318.035,17 ;-
03/2000;321.925,37 ;317.330,46 ;-
04/2000;329.618,90 ;324.239,17 ;-
05/2000;333.971,20 ;328.181,92 ;-
06/2000;334.276,05 ;330.556,40 ;-
07/2000;335.626,34 ;331.000,55 ;-
08/2000;330.881,45 ;324.961,09 ;-
09/2000;332.033,30 ;324.501,78 ;-
10/2000;342.280,95 ;332.820,13 ;-
11/2000;348.492,07 ;338.523,49 ;-
12/2000;352.966,95 ;344.258,40 ;-
01/2001;337.611,99 ;339.639,83 ;-
02/2001;346.552,50 ;346.989,01 ;-
03/2001;355.037,50 ;354.786,61 ;-
