['Data','433-Índicenacionaldepreçosaoconsumidor-amplo(IPCA)-Var.%mensal','4189-Taxadejuros-Selicacumuladanomêsanualizadabase252-%a.a.','4390-Taxadejuros-Selicacumuladanomês-%a.m.']
['01/2010',0.75,8.65,0.66]
['02/2010',0.78,8.65,0.59]
['03/2010',0.52,8.65,0.76]
['04/2010',0.57,8.72,0.67]
['05/2010',0.43,9.4,0.75]
['06/2010',0.01,9.94,0.79]
['07/2010',0.01,10.32,0.86]
['08/2010',0.04,10.66,0.89]
['09/2010',0.45,10.66,0.85]
['10/2010',0.75,10.66,0.81]
['11/2010',0.83,10.66,0.81]
['12/2010',0.63,10.66,0.93]
['01/2011',0.83,10.85,0.86]
['02/2011',0.8,11.17,0.84]
['03/2011',0.79,11.62,0.92]
['04/2011',0.77,11.74,0.84]
['05/2011',0.47,11.92,0.99]
['06/2011',0.15,12.1,0.96]
['07/2011',0.16,12.25,0.97]
['08/2011',0.37,12.42,1.07]
['09/2011',0.53,11.91,0.94]
['10/2011',0.43,11.7,0.88]
['11/2011',0.52,11.4,0.86]
['12/2011',0.5,10.9,0.91]
['01/2012',0.56,10.7,0.89]
['02/2012',0.45,10.4,0.75]
['03/2012',0.21,9.82,0.82]
['04/2012',0.64,9.35,0.71]
['05/2012',0.36,8.87,0.74]
['06/2012',0.08,8.39,0.64]
['07/2012',0.43,8.07,0.68]
['08/2012',0.41,7.85,0.69]
['09/2012',0.57,7.39,0.54]
['10/2012',0.59,7.23,0.61]
['11/2012',0.6,7.14,0.55]
['12/2012',0.79,7.16,0.55]
['01/2013',0.86,7.11,0.6]
['02/2013',0.6,7.12,0.49]
['03/2013',0.47,7.15,0.55]
['04/2013',0.55,7.26,0.61]
['05/2013',0.37,7.42,0.6]
['06/2013',0.26,7.9,0.61]
['07/2013',0.03,8.23,0.72]
['08/2013',0.24,8.45,0.71]
['09/2013',0.35,8.9,0.71]
['10/2013',0.57,9.25,0.81]
['11/2013',0.54,9.45,0.72]
['12/2013',0.92,9.9,0.79]
['01/2014',0.55,10.17,0.85]
['02/2014',0.69,10.43,0.79]
['03/2014',0.92,10.65,0.77]
['04/2014',0.67,10.87,0.82]
['05/2014',0.46,10.9,0.87]
['06/2014',0.4,10.9,0.82]
['07/2014',0.01,10.9,0.95]
['08/2014',0.25,10.9,0.87]
['09/2014',0.57,10.9,0.91]
['10/2014',0.42,10.92,0.95]
['11/2014',0.51,11.15,0.84]
['12/2014',0.78,11.58,0.96]
['01/2015',1.24,11.82,0.94]
['02/2015',1.22,12.15,0.82]
['03/2015',1.32,12.58,1.04]
['04/2015',0.71,12.68,0.95]
['05/2015',0.74,13.15,0.99]
['06/2015',0.79,13.58,1.07]
['07/2015',0.62,13.69,1.18]
['08/2015',0.22,14.15,1.11]
['09/2015',0.54,14.15,1.11]
['10/2015',0.82,14.15,1.11]
['11/2015',1.01,14.15,1.06]
['12/2015',0.96,14.15,1.16]
['01/2016',1.27,14.15,1.06]
['02/2016',0.9,14.15,1.00]
['03/2016',0.43,14.15,1.16]
['04/2016',0.61,14.15,1.06]
['05/2016',0.78,14.15,1.11]
['06/2016',0.35,14.15,1.16]
['07/2016',0.52,14.15,1.11]
['08/2016',0.44,14.15,1.22]
['09/2016',0.08,14.15,1.11]
['10/2016',0.26,14.05,1.05]
['11/2016',0.18,13.9,1.04]
['12/2016',0.3,13.65,1.12]
['01/2017',0.38,13.17,1.09]
['02/2017',0.33,12.82,0.87]
['03/2017',0.25,12.15,1.05]
['04/2017',0.14,11.59,0.79]
['05/2017',0.31,11.15,0.93]
['06/2017',0.23,10.15,0.81]
['07/2017',0.24,10.01,0.8]
['08/2017',0.19,9.15,0.8]
['09/2017',0.16,8.35,0.64]
['10/2017',0.42,8.01,0.64]
['11/2017',0.28,7.4,0.57]
['12/2017',0.44,7.0,0.54]
['01/2018',0.29,6.9,0.58]
['02/2018',0.32,6.72,0.47]
['03/2018',0.09,6.58,0.53]
['04/2018',0.22,6.4,0.52]
['05/2018',0.4,6.4,0.52]
['06/2018',1.26,6.4,0.52]
['07/2018',0.33,6.4,0.54]
['08/2018',0.09,6.4,0.57]
['09/2018',0.48,6.4,0.47]
['10/2018',0.45,6.4,0.54]
['11/2018',0.21,6.4,0.49]
['12/2018',0.15,6.4,0.49]
['01/2019',0.32,6.4,0.54]
['02/2019',0.43,6.4,0.49]
['03/2019',0.75,6.4,0.47]
['04/2019',0.57,6.4,0.52]
['05/2019',0.13,6.4,0.54]
['06/2019',0.01,6.4,0.47]
['07/2019',0.19,6.4,0.57]
['08/2019',0.11,5.9,0.5]
['09/2019',0.04,5.71,0.46]
['10/2019',0.1,5.38,0.48]
['11/2019',0.51,4.9,0.38]
['12/2019',1.15,4.59,0.37]
['01/2020',0.21,4.4,0.38]
['02/2020',0.25,4.19,0.29]
['03/2020',0.07,3.95,0.34]
['04/2020',0.31,3.65,0.28]
['05/2020',0.38,3.01,0.24]
['06/2020',0.26,2.58,0.21]
['07/2020',0.36,2.15,0.19]
['08/2020',0.24,1.94,0.16]
['09/2020',0.64,1.9,0.16]
['10/2020',0.86,1.9,0.16]
['11/2020',0.89,1.9,0.15]
['12/2020',1.35,1.9,0.16]
['01/2021',0.25,1.9,0.15]
['02/2021',0.86,1.9,0.13]
['03/2021',0.93,2.23,0.2]
['04/2021',0.31,2.65,0.21]
['05/2021',0.83,3.29,0.27]
['06/2021',0.53,3.76,0.31]
['07/2021',0.96,4.15,0.36]
['08/2021',0.87,5.01,0.43]
['09/2021',1.16,5.43,0.44]
['10/2021',1.25,6.3,0.49]
['11/2021',0.95,7.65,0.59]
['12/2021',0.73,8.76,0.77]
['Fonte','IBGE','BCB-Demab','BC']
