' VOLUME TOTAL (R$) ';;;
'ANO';'IPO';'FOLLOW-ON';'TOTAL'
2004; 4487065024 ; 4317579322 ; 8804644346 
2005; 5447335660 ; 8488868795 ; 13936204455 
2006; 15373613634 ; 15062683258 ; 30436296892 
2007; 55648186085 ; 14464732433 ; 70112918518 
2008; 7494941362 ; 26760549835 ; 34255491197 
2009; 23831458391 ; 22151816327 ; 45983274718 
2010; 11193373738 ; 138047959152 ; 149241332889 
2011; 7175095457 ; 10814789923 ; 17989885380 
2012; 3932950736 ; 9307533492 ; 13240484228 
2013; 17293349990 ; 6066116253 ; 23359466243 
2014; 417980763 ; 13959899999 ; 14377880762 
2015; 602800014 ; 17461217465 ; 18064017479 
2016; 674197600 ; 9966649298 ; 10640846898 
2017; 20760529289 ; 21020386288 ; 41780915577 
2018; 6823344095 ; 4429700000 ; 11253044095 
2019; 9836302565 ; 79762980683 ; 89599283248 
2020; 43925413832 ; 73962720930 ; 117888134762 
2021; 65668660563 ; 64844099967 ; 130512760530 
2022; - ; - ; - 
