DADOS DA COMPANHIA;;;; INFORMAÇÕES DA OFERTA;;;;; ANÚNCIO DE ENCERRAMENTO ;;;;;PARTICIPAÇÃO DOS INVESTIDORES (%) ³;;;
NOME DE PREGÃO;LISTAGEM NA OFERTA;CLASSIFICAÇÃO SETORIAL (SEGMENTO);COORDENADOR LÍDER;CLASSIFICAÇÃO;TIPO;FIXAÇÃO DE PREÇO;PREÇO POR AÇÃO / UNIT / BDR (LÇTO)4;INÍCIO DE NEGOCIAÇÃO;Nº DE PESSOAS FÍSICAS; Nº TOTAL DE INVESTIDORES ; VOLUME PRIMÁRIA (R$) ; VOLUME SECUNDÁRIA (R$) ;VOLUME TOTAL (R$);VAREJO;INSTITUCIONAL;ESTRANGEIROS;OUTROS
CCR RODOVIAS;NM;Exploração de Rodovias;UBS;FOLLOW-ON;ICVM 400;26/4/2004;23.50;27/04/04; 1010 ; 1514 ; 375000005 ; - ; 375000005 ;7%;18%;75%;1%
NATURA;NM;Prod de Uso Pessoal;UBS;IPO;ICVM 400;24/5/2004;36.50;26/05/04; 4376 ; 5460 ; - ; 768120637 ; 768120637 ;14%;15%;67%;4%
GOL;N2;Transporte Aéreo;Morgan Stanley;IPO;ICVM 400;23/6/2004;26.57;24/06/04; 11274 ; 12380 ; 498187500 ; 379951000 ; 878138500 ;10%;13%;75%;1%
ALL AMER LAT;N2;Transporte Ferroviário;Pactual;IPO;ICVM 400;23/6/2004;46.50;25/06/04; 3275 ; 4198 ; 267375000 ; 320850000 ; 588225000 ;8%;20%;71%;1%
WEG;N1;Motores. Compressores e Outros;Bradesco BBI;FOLLOW-ON;ICVM 400;3/9/2004;7.20;06/09/04; 5130 ; 5708 ; - ; 319384800 ; 319384800 ;30%;24%;41%;5%
BRASKEM;N1;Petroquímicos;Unibanco;FOLLOW-ON;ICVM 400;22/9/2004;0.09;24/09/04; 2287 ; 2737 ; 1210950000 ; - ; 1210950000 ;5%;21%;74%;1%
CPFL ENERGIA;NM;Energia Elétrica;Merrill Lynch;IPO;ICVM 400;28/9/2004;17.22;29/09/04; 2661 ; 3271 ; 684649515 ; 136312659 ; 820962174 ;7%;22%;69%;1%
GRENDENE;NM;Calçados;Pactual;IPO;ICVM 400;27/10/2004;31.00;29/10/04; 7745 ; 8998 ; - ; 616900000 ; 616900000 ;16%;19%;64%;1%
SABESP;NM;Água e Saneamento;Unibanco;FOLLOW-ON;ICVM 400;28/10/2004;0.11;29/10/04; 89 ; 361 ; - ; 687986985 ; 687986985 ;1%;17%;81%;0%
DASA;NM;Serv Méd Hospit. Análises e Diagnósticos;UBS;IPO;ICVM 400;17/11/2004;20.00;19/11/04; 2815 ; 3482 ; 126136300 ; 311247720 ; 437384020 ;9%;22%;68%;1%
PORTO SEGURO;NM;Seguradoras;Pactual;IPO;ICVM 400;18/11/2004;18.75;22/11/04; 5757 ; 6499 ; 129022800 ; 248311894 ; 377334694 ;8%;19%;71%;2%
GERDAU;N1;Siderurgia;Pactual;FOLLOW-ON;ICVM 400;9/12/2004;40.00;09/12/04; 169 ; 250 ; - ; 412805170 ; 412805170 ;5%;14%;79%;3%
GERDAU MET;N1;Siderurgia;Pactual;FOLLOW-ON;ICVM 400;9/12/2004;55.00;09/12/04; 66 ; 119 ; - ; 88266090 ; 88266090 ;13%;53%;28%;6%
BRADESPAR;N1;Holdings Diversificadas;Credit Suisse;FOLLOW-ON;ICVM 400;14/12/2004;77.00;15/12/04; 315 ; 737 ; 1044546272 ; - ; 1044546272 ;3%;16%;66%;15%
SUZANO PETR;N2;Petroquímicos;Itaú BBA;FOLLOW-ON;ICVM 400;16/12/2004;5.80;17/12/04; 4680 ; 5284 ; 31900000 ; 146740000 ; 178640000 ;18%;46%;35%;1%
UNIBANCO;N1;Bancos;Unibanco;FOLLOW-ON;ICVM 400;31/1/2005;15.65;31/01/05; 1402 ; 2064 ; - ; 718294107 ; 718294107 ;9%;32%;57%;2%
RENAR;NM;Alimentos Diversos;Elite;IPO;ICVM 400;10/8/2004;1.60;28/02/05; 1589 ; 1781 ; 16000000 ; - ; 16000000 ;87%;1%;5%;7%
ALL AMER LAT;N2;Transporte Ferroviário;Pactual;FOLLOW-ON;ICVM 400;22/3/2005;72.50;23/03/05; 1167 ; 1540 ; - ; 644865678 ; 644865678 ;9%;11%;80%;0%
SUBMARINO;NM;Produtos Diversos;Credit Suisse;IPO;ICVM 400;29/3/2005;21.62;30/03/05; 3969 ; 4368 ; 135125000 ; 337812500 ; 472937500 ;9%;23%;65%;2%
ULTRAPAR;BÁSICO;Holdings Diversificadas;UBS;FOLLOW-ON;ICVM 400;12/4/2005;0.04;13/04/05; 1466 ; 1817 ; 47218028 ; 314786853 ; 362004881 ;8%;14%;75%;3%
GOL;N2;Transporte Aéreo;Santander;FOLLOW-ON;ICVM 400;27/4/2005;35.12;28/04/05; 2379 ; 2598 ; 271330482 ; 322373118 ; 593703600 ;5%;15%;79%;1%
LOCALIZA;NM;Aluguel de Carros;Credit Suisse;IPO;ICVM 400;19/5/2005;11.50;23/05/05; 785 ; 958 ; - ; 264802738 ; 264802738 ;8%;4%;87%;1%
TAM S/A;N2;Transporte Aéreo;Pactual;IPO;ICVM 400;13/6/2005;18.00;14/06/05; 1171 ; 1647 ; 383942160 ; 164546640 ; 548488800 ;9%;16%;74%;1%
AES TIETE;BÁSICO;Energia Elétrica;Credit Suisse;FOLLOW-ON;ICVM 400;14/6/2005;0.04;15/06/05; 657 ; 1139 ; - ; 1059840084 ; 1059840084 ;2%;18%;80%;0%
LOJAS RENNER;NM;Tecidos. Vestuário e Calçados;Credit Suisse;FOLLOW-ON;ICVM 400;29/6/2005;37.00;01/07/05; 106 ; 448 ; 343138259 ; 542890492 ; 886028751 ;2%;12%;86%;0%
ENERGIAS BR;NM;Energia Elétrica;UBS;IPO;ICVM 400;12/7/2005;18.00;13/07/05; 460 ; 1473 ; 1170132696 ; 14570028 ; 1184702724 ;1%;15%;26%;57%
OHL BRASIL;NM;Exploração de Rodovias;Unibanco;IPO;ICVM 400;13/7/2005;18.00;15/07/05; 1057 ; 1367 ; 135000000 ; 360999990 ; 495999990 ;8%;21%;70%;1%
UNIBANCO;N1;Bancos;Unibanco;FOLLOW-ON;ICVM 400;13/9/2005;20.49;14/09/05; 932 ; 1415 ; - ; 1765197436 ; 1765197436 ;3%;15%;80%;1%
BRADESPAR;N1;Holdings Diversificadas;Credit Suisse;FOLLOW-ON;ICVM 400;14/9/2005;53.00;15/09/05; 823 ; 1289 ; - ; 505059260 ; 505059260 ;9%;24%;67%;1%
CYRELA REALT;NM;Construção Civil;Credit Suisse;FOLLOW-ON;ICVM 400;20/9/2005;15.00;22/09/05; 1574 ; 2025 ; 629175000 ; 273000000 ; 902175000 ;8%;19%;72%;1%
NOSSA CAIXA;NM;Bancos;UBS;IPO;ICVM 400;26/10/2005;31.00;28/10/05; 7342 ; 8983 ; - ; 953955994 ; 953955994 ;7%;22%;71%;1%
COSAN;NM;Alimentos Diversos;Morgan Stanley;IPO;ICVM 400;16/11/2005;48.00;18/11/05; 8835 ; 10359 ; 885767328 ; - ; 885767328 ;8%;18%;72%;1%
TRACTEBEL;NM;Energia Elétrica;UBS;FOLLOW-ON;ICVM 400;7/12/2005;13.00;09/12/05; 6351 ; 7405 ; - ; 1051700000 ; 1051700000 ;8%;36%;55%;1%
UOL;N2;Programas e Serviços;Merrill Lynch;IPO;ICVM 400;14/12/2005;18.00;16/12/05; 12890 ; 14346 ; 322972416 ; 301708170 ; 624680586 ;7%;21%;71%;1%
IOCHP-MAXION;N1;Material Rodoviário;Unibanco;FOLLOW-ON;ICVM 400;31/1/2006;19.25;02/02/06; 6870 ; 7577 ; - ; 340203787 ; 340203787 ;12%;44%;42%;3%
COPASA;NM;Água e Saneamento;Unibanco;IPO;ICVM 400;6/2/2006;23.50;08/02/06; 15465 ; 17214 ; 813461524 ; - ; 813461524 ;7%;18%;74%;1%
